experiment,coating,initial_density,0-0,0-1,0-2,1-1,1-2,2-2,zero_count_0,zero_count_1,zero_count_2
Fibronectin_1_25_-32-E6-E06,Fibronectin,1.25,0.7223021746714601,0.3303218196814466,0.7806132124756798,0.9128868096713774,0.19562187008144125,2.9467877813781977,0.6558349809046919,0.7697966982331601,0.31001003126041093
Fibronectin_1_25_-33-E7-E07,Fibronectin,1.25,0.8624104767655826,0.7753070116344484,1.3253587148136683,0.48535649551248455,0.8466586887788178,1.718020140868134,0.26468232455901913,0.45357395935701855,0.1881550929850705
Fibronectin_2_5_-22-D5-D05,Fibronectin,2.5,0.7007063213753557,0.7744756867679136,1.2330088674933748,0.42353313117905755,0.9391561788834683,1.1022168879791379,0.10797858413401853,0.22461644249746077,0.04252055676755767
Fibronectin_2_5_-23-D6-D06,Fibronectin,2.5,0.7160018637395705,0.668485730912423,1.2116208748251598,0.5899375387662403,0.7115554282902938,1.4862497868918223,0.3730532500832909,0.5184205181801308,0.19228088641874447
Fibronectin_2_5_-24-D7-D07,Fibronectin,2.5,0.8360272729255939,0.9236267285035273,1.23698537353064,0.5087179725582321,0.6882404700991109,1.6112352937413714,0.07239543354788062,0.20411284420081108,0.04830642685259798
Plastic_2_5_-19-D2-D02,Plastic,2.5,0.6445961215882556,0.8422224524940645,1.254849725813849,0.4637028577234644,1.0633339577458278,1.1869696723319585,0.1701535436710408,0.22342222637977519,0.07331603775362201
Plastic_2_5_-20-D3-D03,Plastic,2.5,0.644171954371286,0.851396218990149,1.221542672687687,0.4959522116642555,0.8839102423060358,1.3260193324010048,0.16822707639231146,0.2597850062126851,0.058265707176251146
Plastic_2_5_-21-D4-D04,Plastic,2.5,0.6820479915049207,0.8829045409771966,1.155065885476886,0.5214411199677587,1.0738966031720079,1.8546972779716897,0.2067874898910915,0.2527746399862976,0.061851612701523645
PDK_0_625_no44_-43-F8-F08,PDK,0.625,0.973387630899269,0.37812033231139097,0.8021924396461437,0.7535681103424837,0.743238347449088,3.779204974049286,0.5159058303285426,0.6783574130787949,0.36673028434688126
PDK_0_625_no44_45-F10-F10,PDK,0.625,0.7482163676306922,0.46566270867175663,0.42714133881468896,0.7864477386914737,0.7314775867181101,3.0981918947037825,0.6439651604979211,0.6855256524280435,0.3113907256976175
Plastic_5_corrected_density_-10-C2-C02,Plastic,5.0,0.6131929516920518,0.8779121187750331,1.271473271192206,0.4569356946020937,1.0113221940412815,1.4107730216472514,0.11530181077610631,0.16955158859636646,0.03376379426724163
Plastic_5_corrected_density_-11-C3-C03,Plastic,5.0,0.645985048817165,0.8635284641402288,1.2513689431566104,0.5047401861940165,0.9405051328235765,1.1037076072278251,0.09031314383910607,0.1683944409353675,0.027443809416329342
Plastic_5_corrected_density_-12-C4-C04,Plastic,10.0,0.6425560983648181,1.0715222869430165,1.235779027653866,0.5628183172239716,1.1008777696930665,0.8339722283614978,0.0042197537796286495,0.008370519395770888,0.0009969968173241387
Fibronectin_0_313_-49-G5-G05,Fibronectin,0.313,0.675312448929928,0.33665019929477025,1.184303386931967,0.8910688461986457,0.7981736790655439,2.2047878941517824,0.6365431260526496,0.6849888308472478,0.33000289982015507
Fibronectin_0_313_-50-G6-G06,Fibronectin,0.313,0.8035645057826556,0.952667469737258,1.1359889376691632,0.5800870287664437,0.6012929910360824,1.7740235559101216,0.49833843308221837,0.6487170566479101,0.37523731346842454
Fibronectin_0_313_-51-G7-G07,Fibronectin,0.313,0.6873603897675404,0.7820926344785958,1.3225408708413915,0.25491276510297295,0.5984985872847566,1.9071688677464733,0.39221161471511745,0.5819830526313405,0.21310220666230034
PDK_1_25_-34-E8-E08,PDK,1.25,0.6727163141394845,0.5018620257328827,0.5666447284739591,0.6584103607083289,0.9519745693168207,2.8066912896914586,0.48806507017522854,0.5204013411185193,0.1899903589600601
PDK_1_25_-35-E9-E09,PDK,1.25,0.8133060052858483,0.689761391552449,0.6734465230462832,0.5063538648964603,0.6549073811887856,2.7097700903710735,0.39957118554773585,0.5755245882145773,0.189107722688573
PDK_1_25_36-E10-E10,PDK,1.25,0.8341752875211135,0.612427737510059,0.735329421571528,0.9374490226185753,0.7921426332607565,3.1950090817100643,0.5366808087567189,0.6209472092051498,0.23647603932275263
PDK_2_5_-25-D8-D08,PDK,2.5,0.6747200920754441,0.7927378234796258,1.18923331570356,0.6736831811748718,0.9163364649397742,1.463073098506078,0.1163530702069632,0.1628649810917488,0.032273057754066393
PDK_2_5_-26-D9-D09,PDK,2.5,0.7012491996774362,0.8446643199410617,1.126695837763945,0.5038708707932306,0.9312464530027003,1.5073097427506765,0.1351577243379534,0.20224622382543386,0.04055705539748903
PDK_2_5_27-D10-D10,PDK,2.5,0.7360807040007203,0.4623257942442594,0.8668635680050035,0.6623063460858705,0.861091323542629,2.359299627020714,0.41661534545067913,0.48699316090376477,0.1645202624569275
PDK_5_corrected_density_-16-C8-C08,PDK,10.0,0.6638275885704822,0.9083845279787236,1.2780280488342228,0.5068230314065955,0.9803617656224809,1.0062252412741326,0.006510258327379386,0.02396862582428208,0.0013886783567586564
PDK_5_corrected_density_-17-C9-C09,PDK,10.0,0.6369417784195843,0.8206395598814266,1.2995852383138025,0.45832681281827137,0.9278688923808444,1.085511202849206,0.030895966187349546,0.07172609393825254,0.0075085590670786705
PDK_5_corrected_density_18-C10-C10,PDK,5.0,0.7304187301081115,0.7937320546500802,1.0413313836281888,0.5810372826091244,1.0673373378530844,1.802950173684085,0.2559051738036107,0.3420455418604815,0.10250419975964656
